name,state,district,language,gender,link
IISc_VaaniProject_S_AP_Anantpur_132628_12637893_OTHER_294367_0_4370.wav,AndhraPradesh,Anantpur,Telugu,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_b975b8e5.html
IISc_VaaniProject_S_AP_Anantpur_137363_12851043_OTHER_294537_8_10402.wav,AndhraPradesh,Anantpur,Telugu,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_fe1a83e7.html
IISc_VaaniProject_M_CG_Bastar_Dine20526_1011300000_CGBTSU_101014_17275_22883.wav,Chhattisgarh,Bastar,Bhatri,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_07db746e.html
IISc_VaaniProject_M_CG_Bastar_Hemr95156_1230100000_CGBTJAT_301790_20038_24032.wav,Chhattisgarh,Bastar,Bhatri,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_a8c49407.html
IISc_VaaniProject_M_CG_Bilaspur_Ayus54451_1152250000_BHVSEV_338449_15940_19698.wav,Chhattisgarh,Bilaspur,Hindi,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_a745275f.html
IISc_VaaniProject_S_Chhattisgarh_Bilaspur_112234_11591058_UPVNGA_1186_0_8354.wav,Chhattisgarh,Bilaspur,Chhattisgarhi,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_ebec6e4e.html
IISc_VaaniProject_M_CG_Bilaspur_33058_1310400000_CGBLOTHER_260513_338_8077.wav,Chhattisgarh,Bilaspur,Chhattisgarhi,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_dc2a1bb9.html
IISc_VaaniProject_S_Uttarpradesh_Budaun_60069_9417089_APVAT_191340_0_9293.wav,UttarPradesh,Budaun,Bundeli,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_a2f806f6.html
IISc_VaaniProject_S_Karnataka_Chamrajnagar_151576_13620929_KTCMPP_198871_7_11467.wav,Karnataka,Chamarajanagar,Hindi,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_4722b2ee.html
IISc_VaaniProject_S_Karnataka_Chamrajnagar_138496_12893690_KTCMOTHER_294938_11821_20150.wav,Karnataka,Chamarajanagar,Hindi,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_6405729f.html
IISc_VaaniProject_S_Karnataka_Chamrajnagar_129381_12249834_KTCMNAP_300148_44_11653.wav,Karnataka,Chamarajanagar,Hindi,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_540702dc.html
IISc_VaaniProject_M_KA_Chamrajn_29431922_0246370000_KTCMBK_248898_1451_5874.wav,Karnataka,Chamarajanagar,Tamil,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_499d0ba4.html
IISc_VaaniProject_M_KA_Chamrajn_86607522_0950540000_KTCMOTHER_301012_288_6890.wav,Karnataka,Chamarajanagar,Tamil,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_bdbe5ee1.html
IISc_VaaniProject_M_AP_Chittoor_Jasi03032_0644570000_APCTMOT_134589_869_7259.wav,AndhraPradesh,Chittoor,Tamil,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_a54e850c.html
