name,district,language,gender,link
Chhattisgarh_Jashpur_101576_11122322_CGJPPL_90269_10083_21136.wav,Jashpur,BENGALI,male,https://storage.googleapis.com/vaani-website-sample-files/Chhattisgarh_Jashpur_101576_11122322_CGJPPL_90269_10083_21136.mp4
Chhattisgarh_Jashpur_100961_11077418_BHJHBC_137597_0_8186.wav,Jashpur,BENGALI,female,https://storage.googleapis.com/vaani-website-sample-files/Chhattisgarh_Jashpur_100961_11077418_BHJHBC_137597_0_8186.mp4
CG_Jashpur_tanu81949_0703530000_BHVSAUR_219544_1171_2498.wav,Jashpur,HINDI,female,https://storage.googleapis.com/vaani-website-sample-files/CG_Jashpur_tanu81949_0703530000_BHVSAUR_219544_1171_2498.mp4
IISc_VaaniProject_S_Chhattisgarh_Jashpur_104458_11258261_BHGGBC_363564_6433_15235,Jashpur,HINDI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_d8d6c783.html
IISc_VaaniProject_S_Chhattisgarh_Jashpur_104458_11258261_BHGGBC_363564_1_6433,Jashpur,HINDI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_7a1692f7.html
IISc_VaaniProject_S_Chhattisgarh_Jashpur_125064_12100532_CGJPSR_268184_8410_11711,Jashpur,KUDUKH,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_278447cb.html
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85936_10477617_KTCMICC_300336_9716_15876,Jashpur,NAGPURI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_d822b86a.html
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85936_10477243_CGKDFIM_53912_0_4618,Jashpur,NAGPURI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_afb12fe0.html
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85936_10477235_CGKDDA_301583_0_9737,Jashpur,NAGPURI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_9fd733dd.html
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85936_10477481_CGKDSTF_8680_0_7341,Jashpur,NAGPURI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_3c210bc9.html
IISc_VaaniProject_S_Bihar_Jamui_94595_10895643_BHJMWAF_301993_12_11965,Jamui,BENGALI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_d36956d6.html
IISc_VaaniProject_S_Bihar_Jamui_125070_12089569_BHJMBK_162117_13685_19955,Jamui,HINDI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_a440954f.html
IISc_VaaniProject_S_Bihar_Jamui_125070_12183352_BHJMFOS_159433_987_7838,Jamui,HINDI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_cbee1585.html
IISc_VaaniProject_S_Bihar_Jamui_123045_12048729_BHJMOTHER_302385_7038_12062,Jamui,HINDI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_f3c3c29c.html
IISc_VaaniProject_S_Bihar_Jamui_123045_12067079_BHGGFIM_150481_82_11368,Jamui,HINDI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_9f4be11d.html
IISc_VaaniProject_S_Bihar_Jamui_123045_12048729_BHJMOTHER_302385_0_6996,Jamui,HINDI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_e32d3e23.html
Bihar_Jamui_63952_9555167_BHJMBA_17870_9973_17894.wav,Jamui,MAGAHI,male,https://storage.googleapis.com/vaani-website-sample-files/Bihar_Jamui_63952_9555167_BHJMBA_17870_9973_17894.mp4
IISc_VaaniProject_S_Bihar_Jamui_126642_12286398_BHJMMQ_143896_59_12657,Jamui,MAGAHI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_80635103.html
Bihar_Jamui_63859_9555388_BHJMBA_147566_0_8839.wav,Jamui,MAGAHI,female,https://storage.googleapis.com/vaani-website-sample-files/Bihar_Jamui_63859_9555388_BHJMBA_147566_0_8839.mp4
IISc_VaaniProject_S_Bihar_Jamui_64408_9586970_BHJMCS_129026_12050_15792,Jamui,MAGAHI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_c43af92d.html
IISc_VaaniProject_S_Bihar_Jamui_64408_9577635_BHJMDM_190813_8671_17978,Jamui,MAGAHI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_f6e6e908.html
IISc_VaaniProject_S_Bihar_Jamui_64408_9577635_BHJMDM_190813_18_8671,Jamui,MAGAHI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_b66cd9a8.html
IISc_VaaniProject_S_Bihar_Jamui_64408_9576875_BHJMCYR_186117_10451_19127,Jamui,MAGAHI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_8ca94165.html
Bihar_Begusarai_68638_9760409_BHBSBR_225654_0_11923.wav,Begusarai,ANGIKA,male,https://storage.googleapis.com/vaani-website-sample-files/Bihar_Begusarai_68638_9760409_BHBSBR_225654_0_11923.mp4
IISc_VaaniProject_S_Bihar_Begusarai_68307_9757861_KKFI_292469_0_11593,Begusarai,ANGIKA,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_4cb4baf7.html
IISc_VaaniProject_S_Bihar_Begusarai_68307_9758314_KTDHOTHER_299190_130_11668,Begusarai,ANGIKA,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_46e36147.html
IISc_VaaniProject_S_Bihar_Begusarai_68307_9758570_KTCMPG_114344_449_12927,Begusarai,ANGIKA,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_ecdc7736.html
IISc_VaaniProject_S_Bihar_Begusarai_68307_9759188_CGKDRE_206_6839_12413,Begusarai,ANGIKA,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_d206ab2d.html
IISc_VaaniProject_S_Bihar_Begusarai_68307_9758685_KTDHHC_184739_227_7787,Begusarai,ANGIKA,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_050dd23d.html
BR_Begusarai_Nida05643_0223380000_APVEV_115982_4231_11686.wav,Begusarai,HINDI,female,https://storage.googleapis.com/vaani-website-sample-files/BR_Begusarai_Nida05643_0223380000_APVEV_115982_4231_11686.mp4
IISc_VaaniProject_S_Bihar_Begusarai_94945_10859806_APVBO_57741_1_9419,Begusarai,HINDI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_b098bd37.html
IISc_VaaniProject_S_Bihar_Begusarai_138963_12955232_BHBSZO_302864_5208_11252,Begusarai,HINDI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_29fcda20.html
BR_Begusarai_Nilu68012_0638000000_BHGJJAT_185589_18592_22600.wav,Begusarai,MAITHILI,female,https://storage.googleapis.com/vaani-website-sample-files/BR_Begusarai_Nilu68012_0638000000_BHGJJAT_185589_18592_22600.mp4
IISc_VaaniProject_M_BR_Begusarai_Nand87806_1304550000_TGNLHE_15321_10989_14611,Begusarai,URDU,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_1aafc839.html
IISc_VaaniProject_M_BR_Begusarai_Nand87806_1537440000_BHBSTES_225699_4827_8023,Begusarai,URDU,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_040865e7.html
IISc_VaaniProject_M_BR_Begusarai_Nand87806_1421530000_TGKZO_160386_927_5484,Begusarai,URDU,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_53791d84.html
IISc_VaaniProject_M_BR_Begusarai_Nand87806_1101570000_BHBSJAT_303133_18254_19879,Begusarai,URDU,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_de5483f1.html
BR_Samastipur_Bati49320_0710050000_BHSPSP_369552_9772_17001.wav,Samastipur,HINDI,female,https://storage.googleapis.com/vaani-website-sample-files/BR_Samastipur_Bati49320_0710050000_BHSPSP_369552_9772_17001.mp4
IISc_VaaniProject_S_Bihar_Samastipur_112958_11715341_BHSPMR_362873_6276_16082,Samastipur,HINDI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_8739dc19.html
IISc_VaaniProject_S_Bihar_Samastipur_112958_11716274_BHSPMO_369132_0_14191,Samastipur,HINDI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_33dbd941.html
IISc_VaaniProject_S_Bihar_Samastipur_112958_11704686_BHSPHE_4278_8196_13965,Samastipur,HINDI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_331e078b.html
IISc_VaaniProject_S_Bihar_Samastipur_112958_11704686_BHSPHE_4278_0_8177,Samastipur,HINDI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_d6e623ac.html
IISc_VaaniProject_S_Bihar_Samastipur_112958_11708838_BHSPMA_6624_0_7469,Samastipur,HINDI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_7ef6c11b.html
BR_Samastipur_ranj54473_0826110000_BHVSCH_338296_7068_14083.wav,Samastipur,HINDI,male,https://storage.googleapis.com/vaani-website-sample-files/BR_Samastipur_ranj54473_0826110000_BHVSCH_338296_7068_14083.mp4
IISc_VaaniProject_S_Bihar_Samastipur_124679_12099088_TGKBR_65321_952_10904,Samastipur,HINDI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_26a062cc.html
IISc_VaaniProject_S_Bihar_Samastipur_124679_12085650_BHSPRE_6586_10537_19348,Samastipur,HINDI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_56889085.html
IISc_VaaniProject_S_Bihar_Samastipur_124679_12093604_TGKBOR_79685_62_12901,Samastipur,HINDI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_17e35340.html
IISc_VaaniProject_S_Bihar_Samastipur_124679_12093604_TGKBOR_79685_13161_17742,Samastipur,HINDI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_fe4f2c0f.html
IISc_VaaniProject_S_Bihar_Samastipur_124679_12093785_TGKPL_26786_0_10153,Samastipur,HINDI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_21a7450b.html
IISc_VaaniProject_S_Bihar_Samastipur_64294_9572531_KTCMFE_271184_42_5985,Samastipur,MAITHILI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_1f41cf82.html
IISc_VaaniProject_S_Bihar_Samastipur_64294_9585042_KTBCH_320363_8579_18411,Samastipur,MAITHILI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_4a5e21b6.html
IISc_VaaniProject_S_Bihar_Samastipur_64294_9575651_KTCMCS_142670_9495_17550,Samastipur,MAITHILI,male,https://storage.googleapis.com/audio_image_html_files/html_files/output_f9d1279f.html
IISc_VaaniProject_S_Bihar_Samastipur_63339_9530937_BHGJJAT_185589_0_12521,Samastipur,MAITHILI,female,https://storage.googleapis.com/audio_image_html_files/html_files/output_1bf72077.html
